judul,text,tokens,tanggal,sentimen
Ngeri! Muncul Fenomena Warga RI Terpaksa Kerja dengan Upah Kecil,ngeri ! muncul fenomena warga RI terpaksa kerja dengan upah kecil,"['ngeri', '!', 'muncul', 'fenomena', 'warga', 'ri', 'terpaksa', 'kerja', 'dengan', 'upah', 'kecil']",2024/10/16,negatif
Pemegang Dolar Siap-siap! Bos BI Ramal Rupiah Bakal Menguat,pemegang dolar siap-siap ! bos BI ramal rupiah bakal menguat,"['pemegang', 'dolar', 'siap', '-', 'siap', '!', 'bos', 'bi', 'rama', '##l', 'rupiah', 'bakal', 'menguat']",2024/10/16,netral
KitaBisa Resmi Jadi Pemain Asuransi Jiwa Syariah,kitabisa resmi jadi pemain asuransi jiwa syariah,"['kitab', '##isa', 'resmi', 'jadi', 'pemain', 'asuransi', 'jiwa', 'syariah']",2024/10/16,positif
Pedagang Tidak Boleh Tolak Pembayaran Pakai Uang Kertas & Logam,pedagang tidak boleh tolak pembayaran pakai uang kertas logam,"['pedagang', 'tidak', 'boleh', 'tolak', 'pembayaran', 'pakai', 'uang', 'kertas', 'logam']",2024/10/16,netral
BI: Harusnya Rupiah Menguat,BI : harusnya rupiah menguat,"['bi', ':', 'harusnya', 'rupiah', 'menguat']",2024/10/16,netral
"Fintech Lending Batumbu Rombak Direksi & Komisaris, Ini Daftarnya","fintech lending batumbu rombak direksi komisaris , ini daftarnya","['fin', '##tech', 'len', '##ding', 'batu', '##mb', '##u', 'rom', '##bak', 'direksi', 'komisaris', ',', 'ini', 'daftar', '##nya']",2024/10/16,netral
"BI Tahan Suku Bunga, IHSG Ditutup Sumringah","BI tahan suku bunga , IHSG ditutup sumringah","['bi', 'tahan', 'suku', 'bunga', ',', 'ihsg', 'ditutup', 'sum', '##ring', '##ah']",2024/10/16,positif
Lengkap! Keputusan BI Tahan Suku Bunga Acuan 6% & Nasib Rupiah,lengkap ! keputusan BI tahan suku bunga acuan 6% nasib rupiah,"['lengkap', '!', 'keputusan', 'bi', 'tahan', 'suku', 'bunga', 'acuan', '6', '%', 'nasib', 'rupiah']",2024/10/16,netral
Perbaikan Kinerja Jadi Bukti Tata Kelola PT Timah Semakin Baik,perbaikan kinerja jadi bukti tata kelola PT timah semakin baik,"['perbaikan', 'kinerja', 'jadi', 'bukti', 'tata', 'kelola', 'pt', 'timah', 'semakin', 'baik']",2024/10/16,positif
"Rupiah Perkasa Usai BI Tahan Suku Bunga, Dolar Turun ke Rp 15.505","rupiah perkasa usai BI tahan suku bunga , dolar turun ke rp 15.505","['rupiah', 'perkasa', 'usai', 'bi', 'tahan', 'suku', 'bunga', ',', 'dolar', 'turun', 'ke', 'rp', '15', '.', '50', '##5']",2024/10/16,positif
"Perang di Timur Tengah Bikin Dunia Kacau, Rupiah Cs Jadi Korban","perang di timur tengah bikin dunia kacau , rupiah cs jadi korban","['perang', 'di', 'timur', 'tengah', 'bikin', 'dunia', 'kacau', ',', 'rupiah', 'cs', 'jadi', 'korban']",2024/10/16,negatif
BI Perpanjang Kebijakan DP 0% Buat Pejuang KPR hingga Akhir 2025,BI perpanjang kebijakan DP 0% buat pejuang KPR hingga akhir 2025,"['bi', 'perpanjang', 'kebijakan', 'dp', '0', '%', 'buat', 'pejuang', 'kpr', 'hingga', 'akhir', '2025']",2024/10/16,positif
"BI Rate Masih Berpeluang Turun, Tapi...","BI rate masih berpeluang turun , tapi . . .","['bi', 'rate', 'masih', 'berpeluang', 'turun', ',', 'tapi', '.', '.', '.']",2024/10/16,netral
"BI Ungkap Fenomena Warga RI Tinggalkan ATM, Kompak Pindah ke Sini","BI ungkap fenomena warga RI tinggalkan ATM , kompak pindah ke sini","['bi', 'ungkap', 'fenomena', 'warga', 'ri', 'tinggalkan', 'atm', ',', 'kompak', 'pindah', 'ke', 'sini']",2024/10/16,netral
"Instrumen BI Masih Jadi Incaran Investor, Lebih dari Rp1.000 T","instrumen BI masih jadi incaran investor , lebih dari rp 1.000 t","['instrumen', 'bi', 'masih', 'jadi', 'incaran', 'investor', ',', 'lebih', 'dari', 'rp', '1', '.', '000', 't']",2024/10/16,positif
"Cuan Besar, Asing Diramal Bakal Ramai Serbu RI","cuan besar , asing diramal bakal ramai serbu RI","['cu', '##an', 'besar', ',', 'asing', 'diram', '##al', 'bakal', 'ramai', 'ser', '##bu', 'ri']",2024/10/16,positif
Simak! Ini Alasan Utama BI Rate Tetap 6%,simak ! ini alasan utama BI rate tetap 6%,"['simak', '!', 'ini', 'alasan', 'utama', 'bi', 'rate', 'tetap', '6', '%']",2024/10/16,netral
Rupiah Menguat Usai BI Putuskan Pertahankan Suku Bunga,rupiah menguat usai BI putuskan pertahankan suku bunga,"['rupiah', 'menguat', 'usai', 'bi', 'putuskan', 'pertahankan', 'suku', 'bunga']",2024/10/16,positif
"Dolar AS Sudah Rp15.600, Ini Ramalan Bos BI Soal Nasib Rupiah","dolar AS sudah rp 15.600 , ini ramalan bos BI soal nasib rupiah","['dolar', 'as', 'sudah', 'rp', '15', '.', '600', ',', 'ini', 'ramalan', 'bos', 'bi', 'soal', 'nasib', 'rupiah']",2024/10/16,netral
"BI: Pertumbuhan Kredit per September 2024 Naik 10,85% Yoy",BI : pertumbuhan kredit per september 2024 naik 10.85% yoy,"['bi', ':', 'pertumbuhan', 'kredit', 'per', 'september', '202', '##4', 'naik', '10', '.', '85', '%', 'yo', '##y']",2024/10/16,positif
Tok! BI Rate Diputuskan Tetap 6% pada Oktober 2024,tok ! BI rate diputuskan tetap 6% pada oktober 2024,"['tok', '!', 'bi', 'rate', 'diputuskan', 'tetap', '6', '%', 'pada', 'oktober', '202', '##4']",2024/10/16,netral
"Era Prabowo Mulai, Bos BI Pede Ekonomi RI Tumbuh 4,7-5,5%","era prabowo mulai , bos BI pede ekonomi RI tumbuh 4.7-5.5%","['era', 'prabowo', 'mulai', ',', 'bos', 'bi', 'pede', 'ekonomi', 'ri', 'tumbuh', '4', '.', '7', '-', '5', '.', '5', '%']",2024/10/16,positif
Terungkap! Bos BI Buka-bukaan Biang Kerok Rupiah Anjlok,terungkap ! bos BI buka-bukaan biang kerok rupiah anjlok,"['terungkap', '!', 'bos', 'bi', 'buka', '-', 'bukaan', 'biang', 'ker', '##ok', 'rupiah', 'anjlok']",2024/10/16,netral
"Hartono Mau Suntik Rp2,25 T ke Emiten Teknologi Ini",hartono mau suntik rp 2.25 t ke emiten teknologi ini,"['hartono', 'mau', 'suntik', 'rp', '2', '.', '25', 't', 'ke', 'emiten', 'teknologi', 'ini']",2024/10/16,positif
"IHSG Naik Tipis Sesi I, Deretan Saham Ini Jadi Penopang","IHSG naik tipis sesi I , deretan saham ini jadi penopang","['ihsg', 'naik', 'tipis', 'sesi', 'i', ',', 'deretan', 'saham', 'ini', 'jadi', 'pen', '##opang']",2024/10/16,positif
"MD Entertainment (FILM) Pinjam Rp 794,75 M ke BMRI Buat Ini",MD entertainment ( FILM ) pinjam rp 794.75 m ke BMRI buat ini,"['md', 'entertainment', '(', 'film', ')', 'pinjam', 'rp', '79', '##4', '.', '75', 'm', 'ke', 'bm', '##ri', 'buat', 'ini']",2024/10/16,netral
"Sepanjang Tahun Ini Terbang 153%, Saham PANI Lanjut Bergairah","sepanjang tahun ini terbang 153% , saham PANI lanjut bergairah","['sepanjang', 'tahun', 'ini', 'terbang', '153', '%', ',', 'saham', 'pan', '##i', 'lanjut', 'bergairah']",2024/10/16,positif
"Setelah Konsolidasi Aset, Pertamina Makin Lincah Cetak Laba","setelah konsolidasi aset , pertamina makin lincah cetak laba","['setelah', 'konsolidasi', 'aset', ',', 'pertamina', 'makin', 'lincah', 'cetak', 'laba']",2024/10/16,positif
"Saham AMMN Balik ke Rp 10.000, Seminggu Melejit 10%","saham AMMN balik ke rp 10.000 , seminggu melejit 10%","['saham', 'amm', '##n', 'balik', 'ke', 'rp', '10', '.', '000', ',', 'seminggu', 'melej', '##it', '10', '%']",2024/10/16,positif
"BEI Tunda Batas Free Float 10%, 3 Emiten Ini Belum Memenuhi","BEI tunda batas free float 10% , 3 emiten ini belum memenuhi","['bei', 'tunda', 'batas', 'free', 'flo', '##at', '10', '%', ',', '3', 'emiten', 'ini', 'belum', 'memenuhi']",2024/10/16,negatif
"Masuk Kabinet Prabowo, Segini Harta Maruarar & Budiman Sudjatmiko","masuk kabinet prabowo , segini harta maruarar budiman sudjatmiko","['masuk', 'kabinet', 'prabowo', ',', 'segi', '##ni', 'harta', 'mar', '##uara', '##r', 'budiman', 'sud', '##jat', '##mik', '##o']",2024/10/16,netral
"KB Bank Terbitkan Obligasi Global Rp 4,65 T",KB bank terbitkan obligasi global rp 4.65 t,"['kb', 'bank', 'terbit', '##kan', 'obligasi', 'global', 'rp', '4', '.', '65', 't']",2024/10/16,positif
"Efek Solana, Pasar Kripto Longsor! Cuma Bitcoin yang Perkasa","efek solana , pasar kripto longsor ! cuma bitcoin yang perkasa","['efek', 'sol', '##ana', ',', 'pasar', 'kri', '##pt', '##o', 'longsor', '!', 'cuma', 'bitcoin', 'yang', 'perkasa']",2024/10/16,negatif
Deretan Emiten yang Terafiliasi Calon Menteri Kabinet Prabowo,deretan emiten yang terafiliasi calon menteri kabinet prabowo,"['deretan', 'emiten', 'yang', 'ter', '##afi', '##lia', '##si', 'calon', 'menteri', 'kabinet', 'prabowo']",2024/10/16,netral
PR Besar Proyek Hilirisasi Bumi Resources (BUMI),PR besar proyek hilirisasi bumi resources ( BUMI ),"['pr', 'besar', 'proyek', 'hilir', '##isasi', 'bumi', 'resources', '(', 'bumi', ')']",2024/10/16,netral
"BEI Pertanyakan Pemberhentian Andy Gumala, Manajemen BISI Buka Suara","BEI pertanyakan pemberhentian andy gumala , manajemen BISI buka suara","['bei', 'pertanya', '##kan', 'pemberhentian', 'andy', 'gum', '##ala', ',', 'manajemen', 'bis', '##i', 'buka', 'suara']",2024/10/16,netral
"Sultan Subang Gugat Mirae Sekuritas Rp 8,16 T, BEBS Buka Suara","sultan subang gugat mirae sekuritas rp 8.16 T , BEBS buka suara","['sultan', 'subang', 'gugat', 'mira', '##e', 'sekuritas', 'rp', '8', '.', '16', 't', ',', 'beb', '##s', 'buka', 'suara']",2024/10/16,negatif
"Dipanggil Prabowo, Ini Sosok Widiyanti Wardhana & Gurita Bisnisnya","dipanggil prabowo , ini sosok widiyanti wardhana gurita bisnisnya","['dipanggil', 'prabowo', ',', 'ini', 'sosok', 'widi', '##yanti', 'ward', '##hana', 'gur', '##ita', 'bisnisnya']",2024/10/16,netral
"Investor Nantikan Hasil Rapat BI, Dolar Turun ke Rp 15.530","investor nantikan hasil rapat BI , dolar turun ke rp 15.530","['investor', 'nantikan', 'hasil', 'rapat', 'bi', ',', 'dolar', 'turun', 'ke', 'rp', '15', '.', '530']",2024/10/16,positif
"Jelang Keputusan Suku Bunga BI, IHSG Dibuka Sumringah Lagi","jelang keputusan suku bunga BI , IHSG dibuka sumringah lagi","['jelang', 'keputusan', 'suku', 'bunga', 'bi', ',', 'ihsg', 'dibuka', 'sum', '##ring', '##ah', 'lagi']",2024/10/16,positif
"Harga Bergerak Volatil, BEI Pelototi Saham SMLE, MTSM dan IOTF","harga bergerak volatil , BEI pelototi saham SMLE , MTSM dan IOTF","['harga', 'bergerak', 'vol', '##ati', '##l', ',', 'bei', 'pel', '##otot', '##i', 'saham', 'sm', '##le', ',', 'mts', '##m', 'dan', 'io', '##t', '##f']",2024/10/16,negatif
"Bursa Asia Dibuka di Zona Merah, Nikkei Anjlok Nyaris 2%","bursa asia dibuka di zona merah , nikkei anjlok nyaris 2%","['bursa', 'asia', 'dibuka', 'di', 'zona', 'merah', ',', 'nik', '##ke', '##i', 'anjlok', 'nyaris', '2', '%']",2024/10/16,negatif
Segini Besaran dan Lama Balik Modal Usaha Alfamart,segini besaran dan lama balik modal usaha alfamart,"['segi', '##ni', 'besaran', 'dan', 'lama', 'balik', 'modal', 'usaha', 'alfamart']",2024/10/16,netral
"Siap Siap Keputusan BI Hari Ini, Akankah Jadi Juru Selamat Rupiah?","siap siap keputusan BI hari ini , akankah jadi juru selamat rupiah ?","['siap', 'siap', 'keputusan', 'bi', 'hari', 'ini', ',', 'akankah', 'jadi', 'juru', 'selamat', 'rupiah', '?']",2024/10/16,netral
Asing Terciduk Kompak Borong Saham Bank Kala IHSG Menguat,asing terciduk kompak borong saham bank kala IHSG menguat,"['asing', 'terc', '##id', '##uk', 'kompak', 'bor', '##ong', 'saham', 'bank', 'kala', 'ihsg', 'menguat']",2024/10/16,positif
"Deretan Emiten Calon Menteri & Wamen Prabowo, Auto Cuan?","deretan emiten calon menteri wamen prabowo , auto cuan ?","['deretan', 'emiten', 'calon', 'menteri', 'wa', '##men', 'prabowo', ',', 'auto', 'cu', '##an', '?']",2024/10/16,netral
"IHSG Menguat 3 Hari Beruntun, Asing Malah Lego Saham-Saham Ini","IHSG menguat 3 hari beruntun , asing malah lego saham-saham ini","['ihsg', 'menguat', '3', 'hari', 'beruntun', ',', 'asing', 'malah', 'leg', '##o', 'saham', '-', 'saham', 'ini']",2024/10/16,negatif
Ini Cara Baru OJK Perkuat Industri Asuransi di Indonesia,ini cara baru OJK perkuat industri asuransi di indonesia,"['ini', 'cara', 'baru', 'ojk', 'perku', '##at', 'industri', 'asuransi', 'di', 'indonesia']",2024/10/17,positif
"Layanan Investasi Livin Mandiri Bukukan Penjualan Rp25,14 T",layanan investasi livin mandiri bukukan penjualan rp 25.14 t,"['layanan', 'investasi', 'liv', '##in', 'mandiri', 'buku', '##kan', 'penjualan', 'rp', '25', '.', '14', 't']",2024/10/17,positif
"Mau Punya Alfamart Sendiri, Ternyata Butuh Modal Segini","mau punya alfamart sendiri , ternyata butuh modal segini","['mau', 'punya', 'alfamart', 'sendiri', ',', 'ternyata', 'butuh', 'modal', 'segi', '##ni']",2024/10/17,netral
"Dongkrak Pendapatan, HATM Siapkan Sejumlah Strategi!","dongkrak pendapatan , HATM siapkan sejumlah strategi !","['dong', '##kr', '##ak', 'pendapatan', ',', 'hat', '##m', 'siapkan', 'sejumlah', 'strategi', '!']",2024/10/17,positif
"PPPK 2024 Hapus Sistem Passing Grade, Ini Syarat Kelulusan!","PPPK 2024 hapus sistem passing grade , ini syarat kelulusan !","['ppp', '##k', '202', '##4', 'hapus', 'sistem', 'passing', 'grade', ',', 'ini', 'syarat', 'kelulusan', '!']",2024/10/17,netral
Pengendali RAJA Borong 23 Juta Lembar Saham Perusahaan,pengendali RAJA borong 23 juta lembar saham perusahaan,"['pengendali', 'raja', 'bor', '##ong', '23', 'juta', 'lembar', 'saham', 'perusahaan']",2024/10/17,positif
"IHSG Melesat 1% Lebih, Balik Lagi Ke 7.700-an","IHSG melesat 1% lebih , balik lagi ke 7700-an","['ihsg', 'melesat', '1', '%', 'lebih', ',', 'balik', 'lagi', 'ke', '77', '##00', '-', 'an']",2024/10/17,positif
"Hartono Bersaudara Jadi Duo Paling Kaya di RI, Ini Gurita Bisnisnya","hartono bersaudara jadi duo paling kaya di RI , ini gurita bisnisnya","['hartono', 'bersaudara', 'jadi', 'duo', 'paling', 'kaya', 'di', 'ri', ',', 'ini', 'gur', '##ita', 'bisnisnya']",2024/10/17,netral
IBC dan CATL Patungan Bikin Perusahaan Manufaktur Sel Baterai,IBC dan CATL patungan bikin perusahaan manufaktur sel baterai,"['ib', '##c', 'dan', 'cat', '##l', 'patung', '##an', 'bikin', 'perusahaan', 'manufaktur', 'sel', 'baterai']",2024/10/17,positif
"Segini Daftar Iuran BPJS Kesehatan, Berlaku 17 Oktober 2024","segini daftar iuran BPJS kesehatan , berlaku 17 oktober 2024","['segi', '##ni', 'daftar', 'iuran', 'bpjs', 'kesehatan', ',', 'berlaku', '17', 'oktober', '202', '##4']",2024/10/17,netral
Rupiah Menguat Jelang Potensi Pemangkasan Suku Bunga ECB,rupiah menguat jelang potensi pemangkasan suku bunga ECB,"['rupiah', 'menguat', 'jelang', 'potensi', 'peman', '##g', '##kas', '##an', 'suku', 'bunga', 'ec', '##b']",2024/10/17,positif
"Sinarmas Tebar Dividen Interim Rp 65,1 M ke Pemegang DIRE Simas Plaza",sinarmas tebar dividen interim rp 65.1 m ke pemegang DIRE simas plaza,"['sinar', '##mas', 'teb', '##ar', 'dividen', 'inter', '##im', 'rp', '65', '.', '1', 'm', 'ke', 'pemegang', 'dir', '##e', 'sim', '##as', 'plaza']",2024/10/17,positif
"Banyak Warung Tolak Transaksi Uang Tunai, BI Buka Suara","banyak warung tolak transaksi uang tunai , BI buka suara","['banyak', 'warung', 'tolak', 'transaksi', 'uang', 'tunai', ',', 'bi', 'buka', 'suara']",2024/10/17,netral
"Margin Bank Makin Tergerus, Data BI Buktinya!","margin bank makin tergerus , data BI buktinya !","['margin', 'bank', 'makin', 'terg', '##erus', ',', 'data', 'bi', 'buktinya', '!']",2024/10/17,negatif
Profil Dudy Purwagandhi Orang Dekat Haji Isam Calon Menteri Prabowo,profil dudy purwagandhi orang dekat haji isam calon menteri prabowo,"['profil', 'du', '##dy', 'purw', '##agan', '##dh', '##i', 'orang', 'dekat', 'haji', 'isa', '##m', 'calon', 'menteri', 'prabowo']",2024/10/17,netral
BI Bakal 'Jewer' Pedagang Nakal yang Kenakan Tambahan Biaya QRIS,BI bakal jewer pedagang nakal yang kenakan tambahan biaya QRIS,"['bi', 'bakal', 'jew', '##er', 'pedagang', 'nakal', 'yang', 'kenakan', 'tambahan', 'biaya', 'q', '##ris']",2024/10/17,negatif
IHSG Melesat & Sentuh 7.700 Ditopang 3 Saham Bank Raksasa,IHSG melesat sentuh 7.700 ditopang 3 saham bank raksasa,"['ihsg', 'melesat', 'sentuh', '7', '.', '700', 'ditopang', '3', 'saham', 'bank', 'raksasa']",2024/10/17,positif
"Investor Wajib Tahu, Ini Jadwal Libur Bursa Tahun 2025","investor wajib tahu , ini jadwal libur bursa tahun 2025","['investor', 'wajib', 'tahu', ',', 'ini', 'jadwal', 'libur', 'bursa', 'tahun', '2025']",2024/10/17,netral
"Laba Bersih Emiten Properti Ini Naik 226,7% di Kuartal III-2024",laba bersih emiten properti ini naik 226.7% di kuartal iii-2024,"['laba', 'bersih', 'emiten', 'properti', 'ini', 'naik', '226', '.', '7', '%', 'di', 'kuartal', 'iii', '-', '202', '##4']",2024/10/17,positif
Adaro (ADRO) Kasih Kabar Soal IPO Anak Usaha,adaro ( ADRO ) kasih kabar soal IPO anak usaha,"['adaro', '(', 'adr', '##o', ')', 'kasih', 'kabar', 'soal', 'ip', '##o', 'anak', 'usaha']",2024/10/17,netral
"Net TV (NETV) Reverse Stock Split Saham 2:1, Ini Tujuannya","net TV ( NETV ) reverse stock split saham 2:1 , ini tujuannya","['net', 'tv', '(', 'net', '##v', ')', 'rev', '##erse', 'stock', 'split', 'saham', '2', ':', '1', ',', 'ini', 'tujuannya']",2024/10/17,positif
Para Bos NETV & 87 Anak Usaha Kompak Mundur Usai Dicaplok Punjabi,para bos NETV 87 anak usaha kompak mundur usai dicaplok punjabi,"['para', 'bos', 'net', '##v', '87', 'anak', 'usaha', 'kompak', 'mundur', 'usai', 'dicap', '##lok', 'pun', '##jab', '##i']",2024/10/17,negatif
"Harvey Moeis Begal Ratusan Miliar Dana CSR Timah, Begini Alirannya","harvey moeis begal ratusan miliar dana CSR timah , begini alirannya","['harv', '##ey', 'mo', '##ei', '##s', 'beg', '##al', 'ratusan', 'miliar', 'dana', 'csr', 'timah', ',', 'begini', 'aliran', '##nya']",2024/10/17,negatif
"Kredit ke Sektor Padat Karya Seret, BI Lakukan Langkah Ini","kredit ke sektor padat karya seret , BI lakukan langkah ini","['kredit', 'ke', 'sektor', 'padat', 'karya', 'ser', '##et', ',', 'bi', 'lakukan', 'langkah', 'ini']",2024/10/17,netral
"Transaksi Tak Wajar, BEI Pantau Ketat Saham FAPA dan JTPE","transaksi tak wajar , BEI pantau ketat saham FAPA dan JTPE","['transaksi', 'tak', 'wajar', ',', 'bei', 'pantau', 'ketat', 'saham', 'fa', '##pa', 'dan', 'jt', '##pe']",2024/10/17,negatif
Alasan BI Gratiskan Biaya QRIS Pedagang untuk Transaksi Rp 500 Ribu,alasan BI gratiskan biaya QRIS pedagang untuk transaksi rp 500 ribu,"['alasan', 'bi', 'gratis', '##kan', 'biaya', 'q', '##ris', 'pedagang', 'untuk', 'transaksi', 'rp', '500', 'ribu']",2024/10/17,netral
"Dibuka Perkasa Lagi, IHSG Pelan-Pelan Dekati Level 7.700","dibuka perkasa lagi , IHSG pelan-pelan dekati level 7.700","['dibuka', 'perkasa', 'lagi', ',', 'ihsg', 'pelan', '-', 'pelan', 'dekat', '##i', 'level', '7', '.', '700']",2024/10/17,positif
"Bank Sentral Eropa Akan Pangkas Suku Bunga, Dolar Naik ke Rp 15.520","bank sentral eropa akan pangkas suku bunga , dolar naik ke rp 15.520","['bank', 'sentral', 'eropa', 'akan', 'pangk', '##as', 'suku', 'bunga', ',', 'dolar', 'naik', 'ke', 'rp', '15', '.', '520']",2024/10/17,negatif
Bursa Asia Dibuka Semringah Usai Wall Street Cetak Rekor Baru,bursa asia dibuka semringah usai wall street cetak rekor baru,"['bursa', 'asia', 'dibuka', 'sem', '##ring', '##ah', 'usai', 'wall', 'street', 'cetak', 'rekor', 'baru']",2024/10/17,positif
Asing Terciduk Kompak Lego Saham Tambang Kala IHSG Menguat,asing terciduk kompak lego saham tambang kala IHSG menguat,"['asing', 'terc', '##id', '##uk', 'kompak', 'leg', '##o', 'saham', 'tambang', 'kala', 'ihsg', 'menguat']",2024/10/17,negatif
"Elon Musk Guncang Pasar Kripto, Tesla Diduga Pindahkan Rp 12 T Bitcoin","elon musk guncang pasar kripto , tesla diduga pindahkan rp 12 t bitcoin","['elo', '##n', 'mus', '##k', 'gunc', '##ang', 'pasar', 'kri', '##pt', '##o', ',', 'tes', '##la', 'diduga', 'pindahkan', 'rp', '12', 't', 'bitcoin']",2024/10/17,netral
"Makin Gencar Kejar Tabungan, Bank Mega Syariah Kembali Tebar Hadiah","makin gencar kejar tabungan , bank mega syariah kembali tebar hadiah","['makin', 'gencar', 'kejar', 'tabungan', ',', 'bank', 'mega', 'syariah', 'kembali', 'teb', '##ar', 'hadiah']",2024/10/17,positif
"IHSG Bergairah Lagi, Asing Borong Saham Emiten Blue Chip & Pelat Merah","IHSG bergairah lagi , asing borong saham emiten blue chip pelat merah","['ihsg', 'bergairah', 'lagi', ',', 'asing', 'bor', '##ong', 'saham', 'emiten', 'blue', 'chip', 'pelat', 'merah']",2024/10/17,positif
"Kembangkan Pasar Batu Bara Metalurgi, ADMR Cuan dari Jepang & China","kembangkan pasar batu bara metalurgi , ADMR cuan dari jepang china","['kembangkan', 'pasar', 'batu', 'bara', 'metal', '##urg', '##i', ',', 'adm', '##r', 'cu', '##an', 'dari', 'jepang', 'china']",2024/10/17,positif
"Miris Guru Paling Banyak Terjerat Pinjol, Begini Kata OJK","miris guru paling banyak terjerat pinjol , begini kata OJK","['miris', 'guru', 'paling', 'banyak', 'terjerat', 'pinj', '##ol', ',', 'begini', 'kata', 'ojk']",2024/10/17,negatif
"Holdingisasi, Jurus Pemerintah Dorong BUMN Makin Efisien","holdingisasi , jurus pemerintah dorong BUMN makin efisien","['hold', '##ingi', '##sa', '##si', ',', 'jurus', 'pemerintah', 'dorong', 'bumn', 'makin', 'efisien']",2024/10/18,positif
Proyek Tol Trans Sumatera Garapan PTPP Diresmikan Jokowi,proyek tol trans sumatera garapan PTPP diresmikan jokowi,"['proyek', 'tol', 'trans', 'sumatera', 'garapan', 'pt', '##pp', 'diresmikan', 'jokowi']",2024/10/18,positif
99% Rekening Nasabah Bank dan BPR Sudah Dijamin LPS,99% rekening nasabah bank dan BPR sudah dijamin LPS,"['99', '%', 'rekening', 'nasabah', 'bank', 'dan', 'bpr', 'sudah', 'dijamin', 'lps']",2024/10/18,netral
"BSI (BRIS) Bakal Genjot Bisnis Tabungan Wadiah, Ini Alasannya","BSI ( BRIS ) bakal genjot bisnis tabungan wadiah , ini alasannya","['bs', '##i', '(', 'bris', ')', 'bakal', 'genj', '##ot', 'bisnis', 'tabungan', 'wad', '##iah', ',', 'ini', 'alasannya']",2024/10/18,positif
Okupansi Garuda Indonesia (GIAA) Lampaui Target,okupansi garuda indonesia ( GIAA ) lampaui target,"['oku', '##pan', '##si', 'garuda', 'indonesia', '(', 'gi', '##aa', ')', 'lampau', '##i', 'target']",2024/10/18,positif
OJK Sebut Bank Punya Ruang Salurkan Kredit Lebih Banyak,OJK sebut bank punya ruang salurkan kredit lebih banyak,"['ojk', 'sebut', 'bank', 'punya', 'ruang', 'sal', '##urkan', 'kredit', 'lebih', 'banyak']",2024/10/18,netral
Top! Investor Asing Kompak Tanam Dana ke Pasar Modal RI,top ! investor asing kompak tanam dana ke pasar modal RI,"['top', '!', 'investor', 'asing', 'kompak', 'tanam', 'dana', 'ke', 'pasar', 'modal', 'ri']",2024/10/18,positif
"BI Rate Masih Bisa Turun, Kapan? Ini Bocorannya!","BI rate masih bisa turun , kapan ? ini bocorannya !","['bi', 'rate', 'masih', 'bisa', 'turun', ',', 'kapan', '?', 'ini', 'bocoran', '##nya', '!']",2024/10/18,netral
"Sektor Jasa Keuangan Aman, OJK Minta Bank Cs Lakukan Ini","sektor jasa keuangan aman , OJK minta bank cs lakukan ini","['sektor', 'jasa', 'keuangan', 'aman', ',', 'ojk', 'minta', 'bank', 'cs', 'lakukan', 'ini']",2024/10/18,positif
Gubernur BI Blak-Blakan Alasan Dorong Digitalisasi Sistem Pembayaran,gubernur BI blak-blakan alasan dorong digitalisasi sistem pembayaran,"['gubernur', 'bi', 'bla', '##k', '-', 'bla', '##kan', 'alasan', 'dorong', 'digital', '##isasi', 'sistem', 'pembayaran']",2024/10/18,netral
"Pemegang Dolar Siap-siap, Sri Mulyani Sebut Rupiah Akan Balik Menguat!","pemegang dolar siap-siap , sri mulyani sebut rupiah akan balik menguat !","['pemegang', 'dolar', 'siap', '-', 'siap', ',', 'sri', 'mulyani', 'sebut', 'rupiah', 'akan', 'balik', 'menguat', '!']",2024/10/18,positif
"Sinergi BUMN Bukan Cuma Slogan, Ini Buktinya","sinergi BUMN bukan cuma slogan , ini buktinya","['sinergi', 'bumn', 'bukan', 'cuma', 'slogan', ',', 'ini', 'buktinya']",2024/10/18,netral
BI: Likuiditas Bank di RI Lebih dari Cukup,BI : likuiditas bank di RI lebih dari cukup,"['bi', ':', 'likuiditas', 'bank', 'di', 'ri', 'lebih', 'dari', 'cukup']",2024/10/18,netral
"Tiba-tiba Anjlok, BI: Fokus Kami Kini Rupiah","tiba-tiba anjlok , BI : fokus kami kini rupiah","['tiba', '-', 'tiba', 'anjlok', ',', 'bi', ':', 'fokus', 'kami', 'kini', 'rupiah']",2024/10/18,negatif
"Pemerintah Genjot Daya Beli Warga RI, Kelas Menengah Juga Kebagian!","pemerintah genjot daya beli warga RI , kelas menengah juga kebagian !","['pemerintah', 'genj', '##ot', 'daya', 'beli', 'warga', 'ri', ',', 'kelas', 'menengah', 'juga', 'kebagian', '!']",2024/10/18,positif
"Tersengat Omongan Bahlil, Saham Sunindo Pratama (SUNI) Meroket 157,50%","tersengat omongan bahlil , saham sunindo pratama ( SUNI ) meroket 157.50%","['ters', '##engat', 'omongan', 'bah', '##li', '##l', ',', 'saham', 'sun', '##indo', 'pratama', '(', 'sun', '##i', ')', 'mer', '##oket', '157', '.', '50', '%']",2024/10/18,positif
"Holding BUMN Jasa Survei Terbentuk, Siap Incar Pasar Global","holding BUMN jasa survei terbentuk , siap incar pasar global","['hold', '##ing', 'bumn', 'jasa', 'survei', 'terbentuk', ',', 'siap', 'inc', '##ar', 'pasar', 'global']",2024/10/18,positif
